"Supplier","Price","SKU","Category","Product","Model","SKU Status","Quantities recommended",
"Boomerce"," 1,297","010119-071203","iPhone","iphone-13-pro128 GBExcellentGraphite","iphone-13-pro","Free market","11",
"Boomerce"," 1,678","010124-080503","iPhone","iphone-14-pro-max256 GBExcellentSilver","iphone-14-pro-max","Free market","11",
"Boomerce"," 1,609","010124-075003","iPhone","iphone-14-pro-max128 GBExcellentSpace Black","iphone-14-pro-max","Free market","11",
"Boomerce"," 1,743","010124-08B803","iPhone","iphone-14-pro-max256 GBExcellentDeep Purple","iphone-14-pro-max","Free market","11",
"Boomerce"," 252","020302-018351","Laptop","acer-chromebook-c720-celeron-4th-gen-11.62 GBEnglish16 GB SSD","acer-chromebook-c720","Free market","11",
"Boomerce"," 650","010113-071103","iPhone","iphone-12128 GBExcellentBlue","iphone-12","Free market","11",
"Boomerce"," 793","010114-070301","iPhone","iphone-12-pro128 GBGoodGold","iphone-12-pro","Free market","10",
"Boomerce"," 504","020452-038651","Laptop","dell-latitude-7280-core-i7-7th-gen-12.58 GBEnglish256 GB SSD","dell-latitude-7280","Free market","10",
"Boomerce"," 510","010116-071102","iPhone","iphone-12-mini128 GBVery GoodBlue","iphone-12-mini","Free market","10",
"Boomerce"," 875","020456-048851","Laptop","dell-latitude-7400-core-i7-8th-gen-1416 GBEnglish512 GB SSD","dell-latitude-7400","Free market","10",
"Boomerce"," 429","010106-060102","iPhone","iphone-xr64 GBVery GoodBlack","iphone-xr","Free market","10",
"Boomerce"," 454","010116-060103","iPhone","iphone-12-mini64 GBExcellentBlack","iphone-12-mini","Free market","10",
"Boomerce"," 803","010210-073903","Samsung phone","galaxy-s21-ultra128 GBExcellentPhantom Black","galaxy-s21-ultra","Free market","10",
"Boomerce"," 1,233","010120-070303","iPhone","iphone-13-pro-max128 GBExcellentGold","iphone-13-pro-max","Free market","10",
"Boomerce"," 9,999","010241-123903","Samsung phone","galaxy-s23-ultra256GB - 8GBExcellentPhantom Black","galaxy-s23-ultra","Free market","10",
"Boomerce"," 422","020411-038651","Laptop","dell-latitude-5490-core-i5-7th-gen-148 GBEnglish256 GB SSD","dell-latitude-5490","Free market","10",
"Boomerce"," 1,220","010119-081203","iPhone","iphone-13-pro256 GBExcellentGraphite","iphone-13-pro","Free market","10",
